transaction_id,customer_id,product_id,quantity,unit_price,total_amount,transaction_date,source_file
1,9845,47,3,77.01,231.03,2019-03-05,transactions.csv
2,9064,47,4,119.7,478.8,2022-08-03,transactions.csv
3,8796,24,10,148.93,1489.3,2016-06-13,transactions.csv
4,6680,20,8,105.71,845.68,2023-12-20,transactions.csv
5,9591,8,4,256.16,1024.64,2020-02-03,transactions.csv
6,9721,29,9,404.56,3641.04,2019-06-13,transactions.csv
7,6156,24,5,289.56,1447.8,2018-01-24,transactions.csv
8,2377,31,5,17.25,86.25,2020-11-05,transactions.csv
9,3815,23,1,181.8,181.8,2024-03-24,transactions.csv
10,5505,47,2,310.41,620.82,2020-05-18,transactions.csv
11,2294,6,7,497.72,3484.04,2024-09-21,transactions.csv
12,7726,40,10,160.21,1602.1,2016-02-29,transactions.csv
13,8054,49,8,201.03,1608.24,2022-08-11,transactions.csv
14,4020,44,7,102.47,717.29,2019-03-15,transactions.csv
15,594,46,4,112.04,448.16,2024-11-13,transactions.csv
16,8811,27,2,344.07,688.14,2022-08-25,transactions.csv
17,282,46,6,365.21,2191.26,2021-01-11,transactions.csv
18,5980,1,7,66.33,464.31,2022-01-24,transactions.csv
19,1474,27,5,72.01,360.05,2018-11-23,transactions.csv
20,7849,46,3,150.03,450.09,2022-01-31,transactions.csv
21,7316,34,8,228.46,1827.68,2021-04-04,transactions.csv
22,9566,24,5,243.36,1216.8,2018-12-01,transactions.csv
23,3038,45,6,44.5,267.0,2020-01-28,transactions.csv
24,7888,35,2,42.72,85.44,2022-11-09,transactions.csv
25,8347,1,10,245.93,2459.3,2024-05-31,transactions.csv
26,86,11,3,300.72,902.16,2017-07-31,transactions.csv
27,1658,12,10,136.99,1369.9,2023-06-29,transactions.csv
28,3934,29,3,6.65,19.95,2022-11-11,transactions.csv
29,4350,11,4,77.53,310.12,2016-07-31,transactions.csv
30,8167,22,9,252.84,2275.56,2019-05-10,transactions.csv
31,491,45,8,286.04,2288.32,2018-01-17,transactions.csv
32,1704,6,4,351.42,1405.68,2019-01-28,transactions.csv
